"","X","course","chapter","sequential","vertical","terminal","seq","ver"
"121",120,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@47b6499b1320457f836e8aecf4162d0b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c6c96a8ac57b4fd9b4aa68d3216b1fee","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@49da536e21114606858abece06144a13",9,2
"122",121,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@47b6499b1320457f836e8aecf4162d0b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c6c96a8ac57b4fd9b4aa68d3216b1fee","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b4c487fb4f77450f9b8b77aabecf3418",9,2
"123",122,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6eb6566f363c4ad59c5a1ad7c2678051","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a3017904557f49bba40e68cfd38ca374",5,3
"124",123,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6eb6566f363c4ad59c5a1ad7c2678051","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@2261d61d45404032bb79867a775a3e7c",5,3
"125",124,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0b7a1041b6c7477a8de54e6d7f4597d1","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e67c4678e56745d6ad27284d21760d27","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6a996072efdf4f759cb1067fde521b61",3,1
"126",125,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@ba299edbaed24465a7f81dde7b446d2b","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@3e42bb9aa4b64ee38616686040801d9a","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@3bab22c5c34e4316b47dcb559596a9f4",9,1
"127",126,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6b0e4aa3b96a46b4af442504cc5df00d","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@c9bbd49533aa43c5a55fc35550d653b7",7,3
"128",127,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6b0e4aa3b96a46b4af442504cc5df00d","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@525dc3a15f6c425d9c7e88f3f218186d",7,3
"129",128,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6581c8e02f0e4bc2ab7ef43e285db356","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@be5b1322af9541bb929f0a430dc9a1ab","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@da966be6deff48869cd1f5ed7d32a4b6",12,1
"130",129,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8e987710187342fc9b41a5bf1b3ab6a3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e3fc7800e4c34c2992105df397bfb6e9","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@9e0b84a74cc14d16817f5026d3416d54",11,1
"131",130,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6c9cf4daa4be4cb5987afb447b06b971","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b747b61fc3794f54afcb099595f7f1db","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a7ebb22eb5374537846c156b88d79da6",10,1
"132",131,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6c9cf4daa4be4cb5987afb447b06b971","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b747b61fc3794f54afcb099595f7f1db","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@e5ce0ae768894afc80cb320b48ca5b3b",10,1
"133",132,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@71fb541816b24dde87103db6ed18ac60","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b639b2b4998f480cbc27cbd23b4034c1","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@81781aa3a7f44203b76e89c5ca6d46dd",5,1
"134",133,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f6ed9233b5bb472aa5a776d838e06642","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bb646ea496774ab18d3ca83a99bef3b4","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@9f538688bcad4d3c840f2c204ccee84b",16,1
"135",134,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f6ed9233b5bb472aa5a776d838e06642","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bb646ea496774ab18d3ca83a99bef3b4","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b3d42915b1dc414ba29657e9d55cf572",16,1
"136",135,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6eb57c3fb752491c9355363ed9b3e277","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@d64f5701d3e44fbdb93f9ecab5eab86d","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@1b7a865f486542bfbcc2ac2380fd1cdd",1,1
"137",136,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@daf3ed8b63154f85a2e9339cf2f99a98","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@488c540725244167a653b4e97b16d929","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@41380ed6058b47739463d6c10f1003f8",9,2
"138",137,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@daf3ed8b63154f85a2e9339cf2f99a98","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@488c540725244167a653b4e97b16d929","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@2870e078da044146a16ce9338b9fef56",9,2
"139",138,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@10857aaed5ab4e7a80fb46e9246ca174","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@27d55c45af694affabb8dd5fe610bfc3","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@a1fe279386774c4b899780c2909ac3fd",8,1
"140",139,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4819426805b543a3a8a471e402d5fa9e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@c958807f943446a5972b6d4de60138e9","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@352ff321d5a642aebc66d2ec7f7c8926",2,1
"141",140,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@dc161614d72a492f85f1693df4cb12a3","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@a872b5c9513c4f1196d76a7c216f9a32",7,2
"142",141,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@dc161614d72a492f85f1693df4cb12a3","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@b768dc0f238749ee941bfd87bc7e0045",7,2
"143",142,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@075891b9caaa4002b62d7965b74728c4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@dc161614d72a492f85f1693df4cb12a3","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@749c41a36ac949179c76091d73174dbb",7,2
"144",143,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8252d37328a845bba30e313273c6b132","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@49469882bd9f426d8869658bdcf3e6de","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@f70e718980284774976367848885d1b1",14,1
"145",144,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8252d37328a845bba30e313273c6b132","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@eba6ee68814e4e8c995c4f73f04214fb","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@7990f2eb2b6149aa9659a5513252c087",14,2
"146",145,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8252d37328a845bba30e313273c6b132","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@eba6ee68814e4e8c995c4f73f04214fb","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@9975fdc7d1ee47f19318a3e0c557981a",14,2
"147",146,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8738fe72fc984d89a26eb8301dc83e31","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@6e050c95bac84b3bb42fd58b3dbca270","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@77e9f511d9ce4b7cba40e8f3c286476d",8,1
"148",147,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6eb57c3fb752491c9355363ed9b3e277","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@57fa7731b4b74bd5a595387e7a85ce03","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@3c3e5fe59b7f4bd0ad60650dc430e609",1,2
"149",148,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@2498cd0969f94186b8a3dac31ba1b07a","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@cafef02c4c46482aaa9ea6b4a6d6e0de","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6cd6267c445448619a3fd6504f2a16e3",4,1
"150",149,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@e7c765ceabcf4ac7950b2fa338fa0190","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@bccadf27bc74431bab3e5a69be6893a2","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@e76d6c005dd54bb4af93078bb6bb9dd0",3,1
"151",150,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@77e93d3b460c4ed1b545c9d5adecc905","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b93a106664bc45d8aa86c69ad5d8fb67","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@79b59e766d104596a1295c600f33f152",6,2
"152",151,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6581c8e02f0e4bc2ab7ef43e285db356","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@49228ccb3f12498a81f1a137458fc413","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@5fa41695dffd4c4fa5aaf6cbd21224b8",12,2
"153",152,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6581c8e02f0e4bc2ab7ef43e285db356","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@49228ccb3f12498a81f1a137458fc413","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@7f34d146d59a40e1b457f55d6659e571",12,2
"154",153,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6581c8e02f0e4bc2ab7ef43e285db356","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@49228ccb3f12498a81f1a137458fc413","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@af27860cb63b4e7db0915f290b7de212",12,2
"155",154,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@daf3ed8b63154f85a2e9339cf2f99a98","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@d247ca27242d4821a04cfd2126c4bb1f","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@83d26afbc80845d5aefa6df53c87ef63",9,1
"156",155,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@955f176034744f1493aa520f44d39df6","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7fc0bf7c27a4462da99b24c8bab96f7b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@37e6ec60efa74f0d8b0a35a6fbfc6e62",3,1
"157",156,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@af0ef8245a3548a59d4f26d4db7c8bf3","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@50575bfadf0c41448da6d0ed0de9530e",9,4
"158",157,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@af0ef8245a3548a59d4f26d4db7c8bf3","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@fba2a46edbed4c2fb63f1f8de2dd6492",9,4
"159",158,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@e65a2d83a51644c39f179b0e03a2d668","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@071b771efe474b2498a3108c9f2344f7","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@85ab336dfac945a18d7ccac2ee65fb63",7,3
"160",159,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@e65a2d83a51644c39f179b0e03a2d668","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@071b771efe474b2498a3108c9f2344f7","block-v1:ColumbiaX+DS101X+1T2016+type@discussion+block@2896910bb3594dadad5eae178d66b28b",7,3
"161",160,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6413176fefc646899275a81efec069e3","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@0561718351bb46bcb1a08f90172c7638","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@7b8b27ed85dd4239922d38e8a532e104",4,1
"162",161,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@77e93d3b460c4ed1b545c9d5adecc905","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@e54dcc5acc084c19a0f9c7a34eb610f7","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6858f0546d114150bc162ca7b52177f1",6,1
"163",162,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5b16d9f7807944fba9447068491a6bf5","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b49aeed184cb4f7b9609229e084fca99","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@6942c7fc13fb44d79a5ac5115038a8d3",8,1
"164",163,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@4a2fba9577434da59c2cea9cc84c0373","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@8e369766ab874dc48207eaa2d25c6618","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@9256899cf56e46c485bdad14ea2c1bb3",13,1
"165",164,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7dbe239233b14953aa73a96a05882d63","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@db7b9ad838c246a7b1e2b94a5427ee92",5,1
"166",165,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@c1a155f3812a4b629a5d1d2dc0780d67","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7522528ce585457495a6e457adf53aaa","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@aa61176160584494afc68c0412978752",2,2
"167",166,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@c1a155f3812a4b629a5d1d2dc0780d67","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7522528ce585457495a6e457adf53aaa","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@23c3e4939e934a078493bc0cf0df8148",2,2
"168",167,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0c0745b7de6142eeb00ca749c8fab20d","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7c38f185e198435b9426892047e359a2","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@672fd4ca9dce4f3aad9ec4a20e33c110",11,2
"169",168,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@0c0745b7de6142eeb00ca749c8fab20d","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@7c38f185e198435b9426892047e359a2","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@f8221b2ff85c4af3b3a4c2ebec316009",11,2
"170",169,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@b265d23c48424d89a289583c68dbd27e","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@55231d11efde41298a0adfce5e3638f7","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@39e32fde495b4fe18462bbe11480baa4",9,1
"171",170,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@5ee34cd646a44106b7bf48edb07fac8c","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@b60a9cf10292452783a5de52aabcf952","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@67a3d37c934e4481bc5a26941f1b60d9",15,1
"172",171,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6eb57c3fb752491c9355363ed9b3e277","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@06f80f2b10204ed7bfc7310f1e2b3255","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@ccf5789a2de648aabe14a8801e995ba3",1,3
"173",172,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6eb57c3fb752491c9355363ed9b3e277","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@06f80f2b10204ed7bfc7310f1e2b3255","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@1324b613aec242ceb955f5999914b830",1,3
"174",173,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@f211eede6a944affad84c1bcb538cd49","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@198258b91a2c42cdbc26f00b94ce5e9d","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@ebc2d7c99d2f467ea033aa50ec9c7c92",12,3
"175",174,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","4","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@eb0aef45d0064e1ca0a5e4026a615ec7","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@011856bafbbf40fba7a544856be8a080","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@649d17a2dbb947cc84866033264ed4fa",9,1
"176",175,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@1687692c435540209e762942dd415ab1","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@8cae367694c94d2aaaff4bd9893bc32b","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@5ce1329a24c749da8eb2b8666857e074",7,1
"177",176,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","1","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@9ba7caa9efaf4b86b7521534f9c841d5","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@59526404ca5c4eb4be70ff37caade675","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@448df295f31043cab44301e7079ccb45",1,1
"178",177,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@9ba7e48db24f4b53884d0500c79b9aa2","block-v1:ColumbiaX+DS101X+1T2016+type@html+block@6233b75c28da42a8a95dac4b13ed4fc2",5,2
"179",178,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","2","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@6e4cabeeddce4794a9a3a31f1ebf68d4","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@9ba7e48db24f4b53884d0500c79b9aa2","block-v1:ColumbiaX+DS101X+1T2016+type@problem+block@a0b598ce41c34be090166f55352ecd72",5,2
"180",179,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","3","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@8638abf18a2a42d68bb91f42234cafed","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@5e2aadc7ee084ee8a52b32586acc0de3","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@15d393b493bb495bbfa7630c33d097e7",10,1
"181",180,"block-v1:ColumbiaX+DS101X+1T2016+type@course+block@course","5","block-v1:ColumbiaX+DS101X+1T2016+type@sequential+block@04b137cd55f54d75ba158939e28c1017","block-v1:ColumbiaX+DS101X+1T2016+type@vertical+block@1b4dbea2971148bcb7d5051ca721f8c7","block-v1:ColumbiaX+DS101X+1T2016+type@video+block@5e107f88f50c4ccbba5d7acfeae79f46",10,1
